Time S R 
0 100 0 
0.0003760479 101 0 
0.002760647 102 0 
0.003519898 103 0 
0.005828221 104 0 
0.007275092 105 0 
0.01463132 106 0 
0.021228 105 0 
0.02160781 106 0 
0.02262786 105 0 
0.02596325 106 0 
0.03728189 107 0 
0.04814619 106 0 
0.04885899 107 0 
0.06187503 108 0 
0.06611399 107 0 
0.07774855 108 0 
0.07930506 107 0 
0.08155301 106 0 
0.08705103 105 0 
0.08708892 106 0 
0.08744018 105 0 
0.09249253 104 0 
0.09479553 105 0 
0.09481565 106 0 
0.09979162 107 0 
0.1000913 108 0 
0.1058021 109 0 
0.1119969 110 0 
0.1131979 111 0 
0.1136395 110 0 
0.1200557 111 0 
0.1225163 110 0 
0.1226406 111 0 
0.1327998 112 0 
0.1340827 113 0 
0.1372521 114 0 
0.149412 115 0 
0.1674266 116 0 
0.1795872 117 0 
0.1798932 118 0 
0.1840971 119 0 
0.1894723 120 0 
0.1941339 121 0 
0.1984134 122 0 
0.2071728 123 0 
0.2099407 124 0 
0.2185344 125 0 
0.2341389 126 0 
0.2370263 127 0 
0.2416243 128 0 
0.2419725 127 0 
0.2419834 126 0 
0.2614782 127 0 
0.2645662 128 0 
0.2666878 127 0 
0.2690862 126 0 
0.2701511 127 0 
0.2765459 128 0 
0.2834882 129 0 
0.2855618 128 0 
0.3026522 129 0 
0.3113876 130 0 
0.3130257 129 0 
0.3271384 128 0 
0.3325215 129 0 
0.3461799 130 0 
0.3523405 131 0 
0.3626773 132 0 
0.3632232 133 0 
0.3678912 132 0 
0.380079 131 0 
0.3843244 132 0 
0.3866441 133 0 
0.387195 132 0 
0.3885319 133 0 
0.3943596 134 0 
0.4006584 133 0 
0.4242954 134 0 
0.4290975 133 0 
0.4321136 134 0 
0.4466194 133 0 
0.4481672 134 0 
0.4501547 135 0 
0.4527136 136 0 
0.4528753 137 0 
0.4560878 138 0 
0.4725485 139 0 
0.4751836 140 0 
0.4769551 141 0 
0.47949 142 0 
0.485176 143 0 
0.4900833 144 0 
0.4902362 145 0 
0.5014015 144 0 
0.5028441 143 0 
0.5078477 144 0 
0.5095248 145 0 
0.5132188 146 0 
0.514396 147 0 
0.5146308 148 0 
0.5185264 149 0 
0.5303012 148 0 
0.5357925 147 0 
0.5481942 146 0 
0.558374 147 0 
0.563395 148 0 
0.5666366 149 0 
0.5672889 148 0 
0.580369 147 0 
0.5875189 148 0 
0.5878042 149 0 
0.6011859 150 0 
0.6015235 149 0 
0.6056849 150 0 
0.6117985 149 0 
0.6133512 150 0 
0.6261231 151 0 
0.6373496 152 0 
0.6379266 151 0 
0.64334 152 0 
0.6515807 151 0 
0.6614784 152 0 
0.6616877 151 0 
0.6638765 152 0 
0.6641419 153 0 
0.6682199 154 0 
0.6701478 153 0 
0.6736978 152 0 
0.6740552 151 0 
0.6743779 150 0 
0.6752666 151 0 
0.6806582 152 0 
0.6850081 153 0 
0.6858694 154 0 
0.6886107 153 0 
0.6998852 152 0 
0.7129 153 0 
0.7159403 152 0 
0.7208177 153 0 
0.7278115 152 0 
0.7332797 151 0 
0.7401637 150 0 
0.7439646 151 0 
0.7465572 152 0 
0.7515168 151 0 
0.7516451 152 0 
0.7565573 153 0 
0.7631729 154 0 
0.7668279 155 0 
0.7670821 154 0 
0.7694035 155 0 
0.7723988 156 0 
0.7730121 155 0 
0.7762748 154 0 
0.7819711 153 0 
0.7866976 152 0 
0.7896334 151 0 
0.7955542 152 0 
0.8003151 153 0 
0.8084461 152 0 
0.8185728 153 0 
0.8195801 152 0 
0.8206255 153 0 
0.82988 154 0 
0.8304306 155 0 
0.8436283 156 0 
0.8438005 155 0 
0.8477433 156 0 
0.8500085 157 0 
0.8539839 158 0 
0.8541458 157 0 
0.8560593 158 0 
0.8563263 159 0 
0.8593862 160 0 
0.8631939 161 0 
0.8727589 160 0 
0.8743096 161 0 
0.8819797 160 0 
0.882752 159 0 
0.8858235 160 0 
0.8939916 161 0 
0.8949023 162 0 
0.8965406 161 0 
0.9012333 162 0 
0.907116 161 0 
0.9093108 160 0 
0.9156576 159 0 
0.9261759 158 0 
0.92898 159 0 
0.9337843 158 0 
0.9505803 159 0 
0.9533345 158 0 
0.9584571 157 0 
0.9620254 156 0 
0.9639107 157 0 
0.966409 156 0 
0.9698164 157 0 
0.9727249 158 0 
0.9754743 159 0 
0.9882796 160 0 
0.9893699 161 0 
